Brand,Make_Model,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Mercedes-Benz,Mercedes-Benz GLE Class (GLE300d),10/01/2024,"€50,430.00",2020,"23,590",SUV,Automatic,Diesel,Red Mercedes-Benz GLE300d 4Matic AMG Line Premium 5dr 9G-Tronic 2.0,Dublin
Mercedes-Benz,Mercedes-Benz E Class (E220),10/01/2024,"€15,096.00",2016,"84,627",Saloon,Automatic,Diesel,Black Mercedes-Benz E Class2.1 E220 BlueTEC AMG Night Edition (Premium) G-Tronic+ Euro 6 (s/s) 4dr2 previous owners,Westmeath
Mercedes-Benz,Mercedes-Benz A Class (A200),11/01/2024,"€25,056.00",2019,"16,650",Saloon,Manual,Petrol,Blue Mercedes-Benz A ClassA200 AMG Line Premium 4dr 1.32 previous owners,Clare
Mercedes-Benz,Mercedes-Benz E Class (BlueEfficiency),2024-01-13,"€5,592.00",2009,"101,463",Coupe,Automatic,Diesel,Blue Mercedes-Benz E Class3.0 E350 CDI V6 BlueEfficiency SE G-Tronic Euro 5 2dr3 previous owners,Roscommon
Mercedes-Benz,Mercedes-Benz CLA Class (AMG Line Night Edition),2024-01-13,"€23,756.00",2018,"60,195",Saloon,Automatic,Petrol,Black Mercedes-Benz Cla ClassCLA 200 AMG Line Night Edition Plus 4dr Tip Auto 1.6,Dublin
Mercedes-Benz,Mercedes-Benz E Class (SE),14/01/2024,"€21,245.00",2018,"87,299",Saloon,Automatic,Diesel,Red Mercedes-Benz E-Class2.0 E 220 D SE PREMIUM 4d 192 BHP,Galway
Mercedes-Benz,Mercedes-Benz CLA Class (CLA220d),2024-01-14,"€19,493.00",2017,"47,430",Saloon,Automatic,Diesel,Mercedes-Benz CLA2.1 CLA 220 D AMG LINE 4d 174 BHP HARMAN KARDON / DUAL AC / LED LIGHT2 previous owners,Dublin
Mercedes-Benz,Mercedes-Benz C Class (C250 CDI),2024-01-14,"€11,416.00",2013,"52,436",Coupe,Automatic,Diesel,Blue Mercedes-Benz C Class2.1 C250 CDI BlueEfficiency AMG Sport G-Tronic+ Euro 5 (s/s) 2dr3 previous owners,Donegal
Mercedes-Benz,Mercedes-Benz E Class (E400d),2024-01-16,"€ 41,748",2019,"20,844",Estate,Automatic,Diesel,Red Mercedes-Benz E ClassE400d 4Matic AMG Line Night Ed Prem+ 5dr 9G-Tronic 2.91 previous owner,Westmeath
Mercedes-Benz,Mercedes-Benz GLC Class (AMG Line),17/01/2024,"€37,384.00",2019,"20,194",SUV,Auto,Diesel,Silver Mercedes-Benz Glc Diesel EstateGLC 300d 4Matic AMG Line Premium 5dr 9G-Tronic 2.02 previous owners,Cork
